Year-Month,Southwest Border,Northern Border,Coastal Border,Miles of Barrier,Border Patrol Agents
2000-01,185979,867,1640,72.79,8351
2000-02,211328,792,1799,72.79,8351
2000-03,220063,969,2273,72.79,8351
2000-04,180050,962,1601,72.79,8351
2000-05,166296,1120,1851,72.79,8351
2000-06,115093,945,1431,72.79,8351
2000-07,113956,1273,1395,72.79,8351
2000-08,114312,1405,1736,72.79,8351
2000-09,97744,1142,1980,72.79,8351
2000-10,82632,994,1584,72.79,8351
2000-11,67709,753,1630,72.79,8351
2000-12,55081,666,1424,78.01,9212
2001-01,125090,798,1662,78.01,9212
2001-02,152229,824,1572,78.01,9212
2001-03,170580,895,1374,78.01,9212
2001-04,142813,811,1601,78.01,9212
2001-05,122927,934,1479,78.01,9212
2001-06,89131,1065,1510,78.01,9212
2001-07,83602,1649,1680,78.01,9212
2001-08,84648,2016,1393,78.01,9212
2001-09,59276,933,1249,78.01,9212
2001-10,37812,682,1183,78.01,9212
2001-11,32506,687,1058,78.01,9212
2001-12,31501,645,934,78.01,9821
2002-01,79793,673,1201,78.01,9821
2002-02,95724,766,1071,78.01,9821
2002-03,126992,847,1365,78.01,9821
2002-04,121921,923,1305,78.01,9821
2002-05,97424,990,1216,78.01,9821
2002-06,78655,918,1289,78.01,9821
2002-07,76661,1132,1407,78.01,9821
2002-08,82557,1270,1667,78.01,9821
2002-09,68263,954,1318,78.01,9821
2002-10,61792,909,1717,78.01,9821
2002-11,47731,757,1436,78.01,9821
2002-12,37824,635,1045,78.81,10045
2003-01,86925,674,1538,78.81,10045
2003-02,96869,741,1333,78.81,10045
2003-03,98399,736,1316,78.81,10045
2003-04,75359,770,1581,78.81,10045
2003-05,88690,809,1511,78.81,10045
2003-06,75530,955,1155,78.81,10045
2003-07,79284,1193,1137,78.81,10045
2003-08,84486,994,1116,78.81,10045
2003-09,72176,984,1450,78.81,10045
2003-10,65391,774,1230,78.81,10045
2003-11,57894,591,1037,78.81,10045
2003-12,43614,592,1103,78.81,10717
2004-01,92521,738,1153,78.81,10717
2004-02,110669,688,1016,78.81,10717
2004-03,154981,932,936,78.81,10717
2004-04,135468,704,1016,78.81,10717
2004-05,118726,878,839,78.81,10717
2004-06,94590,929,981,78.81,10717
2004-07,92165,1197,516,78.81,10717
2004-08,93246,1082,817,78.81,10717
2004-09,80017,854,510,78.81,10717
2004-10,75913,743,920,78.81,10717
2004-11,65135,732,727,78.81,10717
2004-12,48406,561,835,79.85,10819
2005-01,93020,580,832,79.85,10819
2005-02,113775,625,666,79.85,10819
2005-03,143048,652,744,79.85,10819
2005-04,140062,537,800,79.85,10819
2005-05,115823,530,957,79.85,10819
2005-06,90786,656,855,79.85,10819
2005-07,94954,634,833,79.85,10819
2005-08,96733,615,928,79.85,10819
2005-09,93741,478,1239,79.85,10819
2005-10,83557,528,670,79.85,10819
2005-11,70975,592,838,79.85,10819
2005-12,52673,431,1081,84,11264
2006-01,101195,507,938,84,11264
2006-02,125046,428,960,84,11264
2006-03,160696,461,816,84,11264
2006-04,126538,506,855,84,11264
2006-05,105450,615,1276,84,11264
2006-06,68366,574,873,84,11264
2006-07,59641,764,693,84,11264
2006-08,59751,645,705,84,11264
2006-09,58084,548,816,84,11264
2006-10,60713,542,1089,84,11264
2006-11,51594,481,869,84,11264
2006-12,40527,454,744,128.84,12349
2007-01,71934,438,1117,128.84,12349
2007-02,79268,442,1000,128.84,12349
2007-03,114137,542,1004,128.84,12349
2007-04,104465,496,864,128.84,12349
2007-05,88504,521,957,128.84,12349
2007-06,71338,539,1277,128.84,12349
2007-07,66782,569,1015,128.84,12349
2007-08,59795,660,834,128.84,12349
2007-09,49581,696,916,128.84,12349
2007-10,51339,815,1025,128.84,12349
2007-11,42209,811,965,128.84,12349
2007-12,31802,540,1034,267.79,14923
2008-01,59028,564,1158,267.79,14923
2008-02,73483,571,856,267.79,14923
2008-03,89770,634,1119,267.79,14923
2008-04,91566,559,1144,267.79,14923
2008-05,69233,565,784,267.79,14923
2008-06,53854,686,1011,267.79,14923
2008-07,49472,722,601,267.79,14923
2008-08,48541,740,636,267.79,14923
2008-09,44708,718,562,267.79,14923
2008-10,42938,658,842,267.79,14923
2008-11,32780,571,603,267.79,14923
2008-12,25947,521,653,563.16,17499
2009-01,44502,467,687,563.16,17499
2009-02,49211,531,686,563.16,17499
2009-03,67342,545,853,563.16,17499
2009-04,58493,528,750,563.16,17499
2009-05,50884,612,582,563.16,17499
2009-06,46044,553,657,563.16,17499
2009-07,43843,588,671,563.16,17499
2009-08,43522,642,687,563.16,17499
2009-09,35359,590,699,563.16,17499
2009-10,40890,654,751,563.16,17499
2009-11,32815,631,677,563.16,17499
2009-12,25034,551,599,676.9,20199
2010-01,34784,470,576,676.9,20199
2010-02,42790,597,661,676.9,20199
2010-03,61361,702,752,676.9,20199
2010-04,55237,567,814,676.9,20199
2010-05,47045,665,689,676.9,20199
2010-06,32955,576,690,676.9,20199
2010-07,25609,646,575,676.9,20199
2010-08,26415,763,765,676.9,20199
2010-09,22796,609,671,676.9,20199
2010-10,26165,683,687,676.9,20199
2010-11,22405,538,610,676.9,20199
2010-12,19429,391,529,683.22,20558
2011-01,23926,469,650,683.22,20558
2011-02,28786,452,540,683.22,20558
2011-03,42014,607,625,683.22,20558
2011-04,36251,453,479,683.22,20558
2011-05,31236,440,531,683.22,20558
